"Sektor","Barkod","Urun Adi","Marka","Kategori","Fiyat (TL)","KDV","Urun Gorseli"
"İçecek","8692478041962","İce Fresh Meyve Sulu","İce","Meyve Suyu","bilinmiyor","bilinmiyor","bilinmiyor"
"Tatlı ve Dondurma","8695789002233","İce Mar-profi̇terol 200 Gr","İce","Tatlı","bilinmiyor","bilinmiyor","bilinmiyor"
"Et ve Et Ürünleri","8695789002240","İce Mar-tavuk Göğsü","İce","Tavuk","bilinmiyor","bilinmiyor","bilinmiyor"
"Atıştırmalık ve Şekerleme","8692478050391","İcefresh Kutu Sakiz 20 Gr","İcefresh","Sakız","bilinmiyor","bilinmiyor","bilinmiyor"
"Fırıncılık","8695789002271","İcemar-supangi̇le","İcemar-supangi̇le","Ekmek","bilinmiyor","bilinmiyor","bilinmiyor"
"İçecek","8690504423232","İçi̇m Ayran 200 Gr","İçim","Ayran","bilinmiyor","bilinmiyor","bilinmiyor"
"Süt ve Süt Ürünleri","8690504024514","İçi̇m Beyaz Peyni̇r 2 Kg","İçim","Peynir","bilinmiyor","bilinmiyor","bilinmiyor"
"Süt ve Süt Ürünleri","8692971030524","İçi̇m Beyaz Peyni̇r 750 Gr","İçim","Peynir","bilinmiyor","bilinmiyor","bilinmiyor"
"İçecek","8692971063607","İçi̇m Cappucci̇no","İçim","Kahve","bilinmiyor","bilinmiyor","bilinmiyor"
"Atıştırmalık ve Şekerleme","8692971063621","İçi̇m Cappucci̇no Çi̇kolatali","İçim","Çikolata","bilinmiyor","bilinmiyor","bilinmiyor"
"Atıştırmalık ve Şekerleme","8690504463528","İçi̇m Çi̇kolatali Pudi̇ng 125gr","İçim","Çikolata","bilinmiyor","bilinmiyor","bilinmiyor"
"Meyve, Sebze ve Kuruyemiş","8690504473152","İçi̇m Dolci̇a-carami̇o 110 Gr X 4 Adet","İçim","Kuruyemiş","bilinmiyor","bilinmiyor","bilinmiyor"
"Tatlı ve Dondurma","8691375281600","İçi̇m Kazandi̇bi̇ 150 Gr","İçim","Tatlı","bilinmiyor","bilinmiyor","bilinmiyor"
"Süt ve Süt Ürünleri","8692971031804","İçi̇m Krem Peyni̇r 180 Gr","İçim","Peynir","bilinmiyor","bilinmiyor","bilinmiyor"
"Süt ve Süt Ürünleri","8690504490906","İçi̇m Krem Şanti̇ Çi̇ko","İçim","Krema","bilinmiyor","bilinmiyor","bilinmiyor"
"Meyve, Sebze ve Kuruyemiş","8692971471525","İçi̇m Kutu Şeftali̇","İçim","Meyve","bilinmiyor","bilinmiyor","bilinmiyor"
"Süt ve Süt Ürünleri","8690504432500","İçi̇m Labne 500 Gr","İçim","Peynir","bilinmiyor","bilinmiyor","bilinmiyor"
"İçecek","8692971971315","İçi̇m M.suyu 200 Ml Koli̇","İçim","Meyve Suyu","bilinmiyor","bilinmiyor","bilinmiyor"
"Süt ve Süt Ürünleri","8690504423706","İçi̇m Mey.yoğurt Çi̇lek 125 Gr","İçim","Yoğurt","bilinmiyor","bilinmiyor","bilinmiyor"
"Süt ve Süt Ürünleri","8690504423904","İçi̇m Mey.yoğurt Şeftali̇ 125 Gr","İçim","Yoğurt","bilinmiyor","bilinmiyor","bilinmiyor"
"Süt ve Süt Ürünleri","8690504435013","İçi̇m Meyveli̇ Yoğurt 6'li Çeşi̇t","İçim","Yoğurt","bilinmiyor","bilinmiyor","bilinmiyor"
"Süt ve Süt Ürünleri","8691375281303","İçi̇m Muhallebi̇","İçim","Süt","bilinmiyor","bilinmiyor","bilinmiyor"
"Süt ve Süt Ürünleri","8692971430621","İçi̇m Peyni̇r","İçim","Peynir","bilinmiyor","bilinmiyor","bilinmiyor"
"Meyve, Sebze ve Kuruyemiş","8692971471747","İçi̇m Portakal Kutu","İçim","Meyve","bilinmiyor","bilinmiyor","bilinmiyor"
"İçecek","8692971471327","İçi̇m Portakal Suyu","İçim","Meyve Suyu","bilinmiyor","bilinmiyor","bilinmiyor"
"Tatlı ve Dondurma","8690504463344","İçi̇m Pudi̇ng","İçim","Tatlı","bilinmiyor","bilinmiyor","bilinmiyor"
"Tatlı ve Dondurma","8690504465515","İçi̇m Pudi̇ng","İçim","Tatlı","bilinmiyor","bilinmiyor","bilinmiyor"
"Tatlı ve Dondurma","8690504468226","İçi̇m Pudi̇ng","İçim","Tatlı","bilinmiyor","bilinmiyor","bilinmiyor"
"İçecek","8692971863207","İçi̇m Salep 10 Lu","İçim","Diğer İçecek","bilinmiyor","bilinmiyor","bilinmiyor"
"Yağ","8692971063225","İçi̇m Salep Sivi 1 Lt","İçim","Diğer Yağ","bilinmiyor","bilinmiyor","bilinmiyor"
"Tatlı ve Dondurma","8691375281204","İçi̇m Supangle 160 Gr","İçim","Tatlı","bilinmiyor","bilinmiyor","bilinmiyor"
"Meyve, Sebze ve Kuruyemiş","8692971471532","İçi̇m Şeftali̇ 500ml","İçim","Meyve","bilinmiyor","bilinmiyor","bilinmiyor"
"İçecek","8692971471723","İçi̇m Şeftali̇ Suyu","İçim","Meyve Suyu","bilinmiyor","bilinmiyor","bilinmiyor"
"Et ve Et Ürünleri","8691375282003","İçi̇m Tavukgöğsü 125 Gr","İçim","Tavuk","bilinmiyor","bilinmiyor","bilinmiyor"
"Süt ve Süt Ürünleri","8690504024606","İçi̇m Taze Kasar 1000 Gr","İçim","Peynir","bilinmiyor","bilinmiyor","bilinmiyor"
"Süt ve Süt Ürünleri","8692971471433","İçi̇m Vi̇şne 500ml","İçim","Süt","bilinmiyor","bilinmiyor","bilinmiyor"
"Süt ve Süt Ürünleri","8690504024330","İçi̇m Yogurt 350g","İçim","Yoğurt","bilinmiyor","bilinmiyor","bilinmiyor"
"Süt ve Süt Ürünleri","8692971020839","İçi̇m Yoğurt Kaymakli 1 Kg","İçim","Yoğurt","bilinmiyor","bilinmiyor","bilinmiyor"
"Süt ve Süt Ürünleri","8692971020822","İçi̇m Yoğurt Kaymakli 500 Gr","İçim","Yoğurt","bilinmiyor","bilinmiyor","bilinmiyor"
"İçecek","8698819983007","İdol Merlot","İdol","Diğer İçecek","bilinmiyor","bilinmiyor","bilinmiyor"
"İçecek","8698819983021","İdol Ugni̇ Blanc","İdol","Diğer İçecek","bilinmiyor","bilinmiyor","bilinmiyor"
"Kahvaltılık","8697457699165","İkbal Ferm Acili 250gr","İkbal","Bal","bilinmiyor","bilinmiyor","bilinmiyor"
"Kahvaltılık","8697457690056","İkbal Geleneksel","İkbal","Bal","bilinmiyor","bilinmiyor","bilinmiyor"
"Kahvaltılık","8697457697826","İkbal Karahi̇sar","İkbal","Bal","bilinmiyor","bilinmiyor","bilinmiyor"
"Kahvaltılık","8697457699141","İkbal Karahi̇sar Acili 250gr","İkbal","Bal","bilinmiyor","bilinmiyor","bilinmiyor"
"Kahvaltılık","8697457694566","İkbal Kasap 350 Gr","İkbal","Bal","bilinmiyor","bilinmiyor","bilinmiyor"
"Kahvaltılık","8697457699127","İkbal Parmak","İkbal","Bal","bilinmiyor","bilinmiyor","bilinmiyor"
"Meyve, Sebze ve Kuruyemiş","8690526093567","İki̇debi̇r 100 Gr","İki̇debi̇r","Kuruyemiş","bilinmiyor","bilinmiyor","bilinmiyor"
"Meyve, Sebze ve Kuruyemiş","8690526093574","İki̇debi̇r 100 Gr-hi̇nd Cevi̇zi̇","İki̇debi̇r","Kuruyemiş","bilinmiyor","bilinmiyor","bilinmiyor"
"Meyve, Sebze ve Kuruyemiş","8690526093550","İki̇debi̇r 100 Gr-kakaolu","İki̇debi̇r","Kuruyemiş","bilinmiyor","bilinmiyor","bilinmiyor"
"Atıştırmalık ve Şekerleme","8698313571014","İkram","İkram","Çikolata","bilinmiyor","bilinmiyor","bilinmiyor"
"Meyve, Sebze ve Kuruyemiş","8698313571021","İkram 2000 Lt","İkram","Kuruyemiş","bilinmiyor","bilinmiyor","bilinmiyor"
"Meyve, Sebze ve Kuruyemiş","8696591010706","İkram Bi̇berli̇ Zeyti̇n 700gr","İkram","Sebze","bilinmiyor","bilinmiyor","bilinmiyor"
"Atıştırmalık ve Şekerleme","8698313587688","İkram Cup","İkram","Çikolata","bilinmiyor","bilinmiyor","bilinmiyor"
"Meyve, Sebze ve Kuruyemiş","8696591061005","İkram Gemli̇k Zeyti̇n 1.5kg","İkram","Zeytin","bilinmiyor","bilinmiyor","bilinmiyor"
"Meyve, Sebze ve Kuruyemiş","8696591010287","İkram Yeşi̇l Zeyti̇n 200 Gr Çi̇zi̇k","İkram","Zeytin","bilinmiyor","bilinmiyor","bilinmiyor"
"Meyve, Sebze ve Kuruyemiş","8696591010294","İkram Yeşi̇l Zeyti̇n 200 Gr Dolgulu","İkram","Zeytin","bilinmiyor","bilinmiyor","bilinmiyor"
"Meyve, Sebze ve Kuruyemiş","8696591010300","İkram Yeşi̇l Zeyti̇n 200 Gr Kirma","İkram","Zeytin","bilinmiyor","bilinmiyor","bilinmiyor"
"Meyve, Sebze ve Kuruyemiş","8696591010324","İkram Yeşi̇l Zeyti̇n 200 Gr Soslu Dolgulu","İkram","Zeytin","bilinmiyor","bilinmiyor","bilinmiyor"
"Meyve, Sebze ve Kuruyemiş","8696591010508","İkram Zeyti̇n 700gr","İkram","Zeytin","bilinmiyor","bilinmiyor","bilinmiyor"
"Et ve Et Ürünleri","8697446370433","İlkay Sosi̇s 200 Gr","İlkay","Sosis","bilinmiyor","bilinmiyor","bilinmiyor"
"Süt ve Süt Ürünleri","8697595050019","İmren Yoğurt 2250 Gr-kova","İmren","Yoğurt","bilinmiyor","bilinmiyor","bilinmiyor"
"Et ve Et Ürünleri","8691967005706","İnan Baton Sucuk","İnan","Sucuk","bilinmiyor","bilinmiyor","bilinmiyor"
"Süt ve Süt Ürünleri","8693942360169","İnan Kaşar 250 Gr","İnan","Peynir","bilinmiyor","bilinmiyor","bilinmiyor"
"Süt ve Süt Ürünleri","8693942360152","İnan Kaşar 400 Gr","İnan","Peynir","bilinmiyor","bilinmiyor","bilinmiyor"
"Et ve Et Ürünleri","8691967004204","İnan Sucuk 200 Gr","İnan","Sucuk","bilinmiyor","bilinmiyor","bilinmiyor"
"Meyve, Sebze ve Kuruyemiş","8691865110304","İnci̇ Çam Fistiği","İnci","Kuruyemiş","bilinmiyor","bilinmiyor","bilinmiyor"
"Temel Gıda","8691865110120","İnci̇ Kabartma Tozu 10 Gr","İnci","Un","bilinmiyor","bilinmiyor","bilinmiyor"
"Meyve, Sebze ve Kuruyemiş","8691865111493","İnci̇ Karbonat 40 Gr","İnci","Kuruyemiş","bilinmiyor","bilinmiyor","bilinmiyor"
"Sos, Baharat ve Çeşni","8691865113695","İnci̇ Köfte Harci 100 Gr","İnci","Baharat","bilinmiyor","bilinmiyor","bilinmiyor"
"Sos, Baharat ve Çeşni","8691865115958","İnci̇ Köfte Harci 100gr","İnci","Baharat","bilinmiyor","bilinmiyor","bilinmiyor"
"Süt ve Süt Ürünleri","8691865111561","İnci̇ Krem Şanti","İnci","Krema","bilinmiyor","bilinmiyor","bilinmiyor"
"Temel Gıda","8691865110267","İnci̇ Li̇mon Tuzu","İnci","Tuz","bilinmiyor","bilinmiyor","bilinmiyor"
"Temel Gıda","8691865110236","İnci̇ Pudra Şekeri","İnci","Şeker","bilinmiyor","bilinmiyor","bilinmiyor"
"Meyve, Sebze ve Kuruyemiş","8697410040300","İnci̇m İnci̇r 400g","İnci̇m","Kuruyemiş","bilinmiyor","bilinmiyor","bilinmiyor"
"Meyve, Sebze ve Kuruyemiş","8697410040218","İnci̇m Kayisi 400 Gr","İnci̇m","Kuruyemiş","bilinmiyor","bilinmiyor","bilinmiyor"
"Meyve, Sebze ve Kuruyemiş","8697410040416","İnci̇m Kayisi 400 Gr","İnci̇m","Kuruyemiş","bilinmiyor","bilinmiyor","bilinmiyor"
"Meyve, Sebze ve Kuruyemiş","8697775530911","İnci̇r","İnci̇r","Kuruyemiş","bilinmiyor","bilinmiyor","bilinmiyor"
"Meyve, Sebze ve Kuruyemiş","8690000006182","İnci̇r 1 Kg","İnci̇r","Kuruyemiş","bilinmiyor","bilinmiyor","bilinmiyor"
"Kahvaltılık","8697414370038","İndi̇ri̇mli̇ Yumurta Koli̇","İndi̇ri̇mli̇","Yumurta","bilinmiyor","bilinmiyor","bilinmiyor"
"Et ve Et Ürünleri","8697874570092","İnegol Kofte","İnegol","Kırmızı Et","bilinmiyor","bilinmiyor","bilinmiyor"
"Atıştırmalık ve Şekerleme","745092006676","İntermar 35 Tat Jeli̇bon Şeker","İntermar","Şekerleme","bilinmiyor","bilinmiyor","bilinmiyor"
"Meyve, Sebze ve Kuruyemiş","8697641131044","İpek Çeki̇rdek 25 Gr","İpek","Kuruyemiş","bilinmiyor","bilinmiyor","bilinmiyor"
"Sos, Baharat ve Çeşni","8691898004328","İpek Dom. Salçasi 800 G","İpek","Sos","bilinmiyor","bilinmiyor","bilinmiyor"
"Sos, Baharat ve Çeşni","8691898010206","İpek Domates Salçasi 1/1*24","İpek","Sos","bilinmiyor","bilinmiyor","bilinmiyor"
"Sos, Baharat ve Çeşni","8694225320399","İpek Pul Biber Çi̇çek","İpek","Baharat","bilinmiyor","bilinmiyor","bilinmiyor"
"Sos, Baharat ve Çeşni","8694225220101","İpek Pul Bi̇ber","İpek","Baharat","bilinmiyor","bilinmiyor","bilinmiyor"
"İçecek","8680264060020","İpeksu","İpeksu","Su","bilinmiyor","bilinmiyor","bilinmiyor"
"Atıştırmalık ve Şekerleme","8681038358077","İray Pi̇şmani̇ye","İray","Şekerleme","bilinmiyor","bilinmiyor","bilinmiyor"
"Temel Gıda","8693804095109","İrem Çi̇ftli̇k Eri̇şte","İrem","Makarna","bilinmiyor","bilinmiyor","bilinmiyor"
"Sos, Baharat ve Çeşni","8694225321013","İsot Pul Bi̇ber","İsot","Baharat","bilinmiyor","bilinmiyor","bilinmiyor"
"Fırıncılık","8697421990014","İst Freş Milfoy 1kg","İst","Kek","bilinmiyor","bilinmiyor","bilinmiyor"
"Tatlı ve Dondurma","8699424031237","İstanbul Ekmek Tatlisi","İstanbul","Tatlı","bilinmiyor","bilinmiyor","bilinmiyor"
"Fırıncılık","8697421990021","İstanbul Mi̇lföy","İstanbul","Kek","bilinmiyor","bilinmiyor","bilinmiyor"
"Hazır Gıda","8695572000965","İstb Fresh Pi̇zza","İstb","Hazır Yemek","bilinmiyor","bilinmiyor","bilinmiyor"
"İçecek","8697506090028","İsti̇klal Çay 1 Kg-kamelya","İsti̇klal","Çay","bilinmiyor","bilinmiyor","bilinmiyor"
"Et ve Et Ürünleri","8697589970248","İşlek Salam","İşlek","Salam","bilinmiyor","bilinmiyor","bilinmiyor"
"Süt ve Süt Ürünleri","8693228040037","İti̇mat 1 Kg Tere Yasği","İtimat","Tereyağı","bilinmiyor","bilinmiyor","bilinmiyor"
"Gıda Dışı Ürünler","3574660416657","J.b.o.b Pro-comfort Tambon 16li Super Plus 40133","J.b.o.b","Diğer","bilinmiyor","bilinmiyor","bilinmiyor"
"İçecek","8697459299424","Jack Wrestter 250 Ml Energy Drink","Jack","Enerji İçeceği","bilinmiyor","bilinmiyor","bilinmiyor"
"İçecek","8697459293521","Jack Wrestter 500 Ml Energy Drink","Jack","Enerji İçeceği","bilinmiyor","bilinmiyor","bilinmiyor"
"İçecek","7622300284350","Jacobs 2 Si 1 Arada 14 Gr 9002","Jacobs","Kahve","bilinmiyor","bilinmiyor","bilinmiyor"
"İçecek","7622300134440","Jacobs 3 In 1 Findikli Kahve 12 Gr","Jacobs","Kahve","bilinmiyor","bilinmiyor","bilinmiyor"
"İçecek","7622210142054","Jacobs Cranat Gold 100gr Hed","Jacobs","Kahve","bilinmiyor","bilinmiyor","bilinmiyor"
"İçecek","7622300081546","Jacobs Cronat 200 Gr Gold Poset 8249","Jacobs","Kahve","bilinmiyor","bilinmiyor","bilinmiyor"
"İçecek","7622300081614","Jacobs Gold Kahve 100 Gr Cronat Kavanoz","Jacobs","Kahve","bilinmiyor","bilinmiyor","bilinmiyor"
"İçecek","7622300081492","Jacobs Gold Kahve 100 Gr Cronat Poset","Jacobs","Kahve","bilinmiyor","bilinmiyor","bilinmiyor"
"İçecek","7622400005787","Jacobs Gold Kahve 100 Gr Monarch Kavanoz","Jacobs","Kahve","bilinmiyor","bilinmiyor","bilinmiyor"
"İçecek","7622400005732","Jacobs Gold Kahve 250 Gr Monarch Paket","Jacobs","Kahve","bilinmiyor","bilinmiyor","bilinmiyor"
"İçecek","7622300078867","Jacobs Kahve 12 Gr 3 U 1 Arada","Jacobs","Kahve","bilinmiyor","bilinmiyor","bilinmiyor"
"İçecek","8690515511324","Jacobs Kahve Sekersiz 2si 1arada (4251134)","Jacobs","Kahve","bilinmiyor","bilinmiyor","bilinmiyor"
"İçecek","7622400915895","Jacobs Maxima Filtre 500 Gr","Jacobs","Kahve","bilinmiyor","bilinmiyor","bilinmiyor"
"İçecek","8697409886490","Jacobs Monarch 100 Gr Gold Kahve Poset 9368","Jacobs","Kahve","bilinmiyor","bilinmiyor","bilinmiyor"
"İçecek","7622210176394","Jacobs Monarch 100 Gr Millicano 6018","Jacobs","Kahve","bilinmiyor","bilinmiyor","bilinmiyor"
"İçecek","4823001412735","Jacobs Monarch 2gr","Jacobs","Kahve","bilinmiyor","bilinmiyor","bilinmiyor"
"İçecek","7622210243942","Jacobs Monarch 75 Gr Eko","Jacobs","Kahve","bilinmiyor","bilinmiyor","bilinmiyor"
"İçecek","8697409886506","Jacobs Monarch Eko 200gr","Jacobs","Kahve","bilinmiyor","bilinmiyor","bilinmiyor"
"İçecek","7622400005725","Jacobs Monarch Filtre 500gr","Jacobs","Kahve","bilinmiyor","bilinmiyor","bilinmiyor"
"İçecek","7622210243966","Jacobs Monarch Gold Ekonomik Paket 150 Gr","Jacobs","Kahve","bilinmiyor","bilinmiyor","bilinmiyor"
"İçecek","7622210437464","Jacobs Monarch Millicano 140 Gr","Jacobs","Kahve","bilinmiyor","bilinmiyor","bilinmiyor"
"İçecek","7622210410726","Jacobs Monarch Millicano 70 Gr","Jacobs","Kahve","bilinmiyor","bilinmiyor","bilinmiyor"
"İçecek","7622210176424","Jacobs Monarch Millicano 75 Gr","Jacobs","Kahve","bilinmiyor","bilinmiyor","bilinmiyor"
"İçecek","4000508046506","Jacobs Night&day 100 Gr","Jacobs","Kahve","bilinmiyor","bilinmiyor","bilinmiyor"
"İçecek","4000508037948","Jacobs Night&day Filtre 250gr","Jacobs","Kahve","bilinmiyor","bilinmiyor","bilinmiyor"
"Kahvaltılık","7622300134471","Jacops 3in 1 Mi̇lka","Jacops","Kahvaltılık Gevrek","bilinmiyor","bilinmiyor","bilinmiyor"
"İçecek","8697409885967","Jacops Cappuci̇no","Jacops","Kahve","bilinmiyor","bilinmiyor","bilinmiyor"
"Meyve, Sebze ve Kuruyemiş","8680751007033","Jaywis Ceviz Ezmesi 320gr","Jaywis","Kuruyemiş","bilinmiyor","bilinmiyor","bilinmiyor"
"Meyve, Sebze ve Kuruyemiş","8680751007132","Jaywis Ceviz Yagi 1000 Ml Tnk","Jaywis","Kuruyemiş","bilinmiyor","bilinmiyor","bilinmiyor"
"Meyve, Sebze ve Kuruyemiş","8680751007064","Jaywis Ceviz Yagi 250 Ml","Jaywis","Kuruyemiş","bilinmiyor","bilinmiyor","bilinmiyor"
"Meyve, Sebze ve Kuruyemiş","8680751007071","Jaywis Ceviz Yagi 500 Ml","Jaywis","Kuruyemiş","bilinmiyor","bilinmiyor","bilinmiyor"
"Meyve, Sebze ve Kuruyemiş","9556092880125","Jeeny's Hindistan Cevizi Sutu 400 Ml","Jeeny's","Kuruyemiş","bilinmiyor","bilinmiyor","bilinmiyor"
"Atıştırmalık ve Şekerleme","8690515133625","Jelbon Ayicik","Jelbon","Şekerleme","bilinmiyor","bilinmiyor","bilinmiyor"
"Atıştırmalık ve Şekerleme","690515130006","Jelibon Frutty","Jelibon","Şekerleme","bilinmiyor","bilinmiyor","bilinmiyor"
"Atıştırmalık ve Şekerleme","8697471710099","Jelibon Şeker","Jelibon","Şekerleme","bilinmiyor","bilinmiyor","bilinmiyor"
"Atıştırmalık ve Şekerleme","8690515142511","Jeli̇bon Buggi̇ 15 Gr","Jeli̇bon","Şekerleme","bilinmiyor","bilinmiyor","bilinmiyor"
"Atıştırmalık ve Şekerleme","20000349","Jeli̇bon Kg","Jeli̇bon","Şekerleme","bilinmiyor","bilinmiyor","bilinmiyor"
"Atıştırmalık ve Şekerleme","8690515004666","Jeli̇bon Mi̇x 180gr","Jeli̇bon","Şekerleme","bilinmiyor","bilinmiyor","bilinmiyor"
"Atıştırmalık ve Şekerleme","8690515142016","Jeli̇bon Puffy","Jeli̇bon","Şekerleme","bilinmiyor","bilinmiyor","bilinmiyor"
"Atıştırmalık ve Şekerleme","8690515142115","Jeli̇bon Puffy","Jeli̇bon","Şekerleme","bilinmiyor","bilinmiyor","bilinmiyor"
"Atıştırmalık ve Şekerleme","7622210442789","Jeli̇bon Sour Patch","Jeli̇bon","Şekerleme","bilinmiyor","bilinmiyor","bilinmiyor"
"Atıştırmalık ve Şekerleme","8680052605327","Jeli̇bon Şeker","Jeli̇bon","Şekerleme","bilinmiyor","bilinmiyor","bilinmiyor"
"Atıştırmalık ve Şekerleme","8697471710136","Jelibon Şeker","Jelibon","Şekerleme","bilinmiyor","bilinmiyor","bilinmiyor"
"Atıştırmalık ve Şekerleme","8690515133250","Jeli̇bon Tirtil","Jeli̇bon","Şekerleme","bilinmiyor","bilinmiyor","bilinmiyor"
"Atıştırmalık ve Şekerleme","8690515599469","Jeli̇bon Vampir","Jeli̇bon","Şekerleme","bilinmiyor","bilinmiyor","bilinmiyor"
"Atıştırmalık ve Şekerleme","8690146098591","Jeli̇do Cars","Jeli̇do","Şekerleme","bilinmiyor","bilinmiyor","bilinmiyor"
"Atıştırmalık ve Şekerleme","8690146058618","Jeli̇do Jeli̇bon","Jeli̇do","Şekerleme","bilinmiyor","bilinmiyor","bilinmiyor"
"Atıştırmalık ve Şekerleme","8690146058625","Jeli̇do Jeli̇bon","Jeli̇do","Şekerleme","bilinmiyor","bilinmiyor","bilinmiyor"
"Atıştırmalık ve Şekerleme","8690146653813","Jeli̇do Jeli̇bon","Jeli̇do","Şekerleme","bilinmiyor","bilinmiyor","bilinmiyor"
"Atıştırmalık ve Şekerleme","8690146653912","Jeli̇do Jeli̇bon","Jeli̇do","Şekerleme","bilinmiyor","bilinmiyor","bilinmiyor"
"Atıştırmalık ve Şekerleme","8690146654018","Jeli̇do Jeli̇bon","Jeli̇do","Şekerleme","bilinmiyor","bilinmiyor","bilinmiyor"
"Atıştırmalık ve Şekerleme","8690146654117","Jeli̇do Jeli̇bon","Jeli̇do","Şekerleme","bilinmiyor","bilinmiyor","bilinmiyor"
"Atıştırmalık ve Şekerleme","8690146654315","Jeli̇do Şakatat","Jeli̇do","Şekerleme","bilinmiyor","bilinmiyor","bilinmiyor"
"Atıştırmalık ve Şekerleme","8693323806101","Jellopy","Jellopy","Şekerleme","bilinmiyor","bilinmiyor","bilinmiyor"
"Atıştırmalık ve Şekerleme","8693323809102","Jellopy","Jellopy","Şekerleme","bilinmiyor","bilinmiyor","bilinmiyor"
"Atıştırmalık ve Şekerleme","8693323880101","Jellopy Ayicik","Jellopy","Şekerleme","bilinmiyor","bilinmiyor","bilinmiyor"
"Atıştırmalık ve Şekerleme","8693323887100","Jellopy Bogurtlen","Jellopy","Şekerleme","bilinmiyor","bilinmiyor","bilinmiyor"
"Temel Gıda","8693323980108","Jellopy Burger Yumuşak Şeker 20 Gr","Jellopy","Şeker","bilinmiyor","bilinmiyor","bilinmiyor"
"Atıştırmalık ve Şekerleme","8693323897109","Jellopy Çi̇lekli̇","Jellopy","Şekerleme","bilinmiyor","bilinmiyor","bilinmiyor"
"Atıştırmalık ve Şekerleme","8693323811105","Jellopy Gol Krali","Jellopy","Şekerleme","bilinmiyor","bilinmiyor","bilinmiyor"
"Atıştırmalık ve Şekerleme","8693323876104","Jellopy Jeli̇bon","Jellopy","Şekerleme","bilinmiyor","bilinmiyor","bilinmiyor"
"Atıştırmalık ve Şekerleme","8693323882105","Jellopy Meyveli","Jellopy","Şekerleme","bilinmiyor","bilinmiyor","bilinmiyor"
"Atıştırmalık ve Şekerleme","8693323804107","Jellopy Pi̇ton","Jellopy","Şekerleme","bilinmiyor","bilinmiyor","bilinmiyor"
"Temel Gıda","8693323859107","Jellopy Yumuşak Şeker","Jellopy","Şeker","bilinmiyor","bilinmiyor","bilinmiyor"
"Temel Gıda","8693323862107","Jellopy Yumuşak Şeker","Jellopy","Şeker","bilinmiyor","bilinmiyor","bilinmiyor"
"Temel Gıda","8693323865108","Jellopy Yumuşak Şeker","Jellopy","Şeker","bilinmiyor","bilinmiyor","bilinmiyor"
"Temel Gıda","8693323866105","Jellopy Yumuşak Şeker","Jellopy","Şeker","bilinmiyor","bilinmiyor","bilinmiyor"
"Temel Gıda","8693323871109","Jellopy Yumuşak Şeker","Jellopy","Şeker","bilinmiyor","bilinmiyor","bilinmiyor"
"Temel Gıda","8693323873103","Jellopy Yumuşak Şeker","Jellopy","Şeker","bilinmiyor","bilinmiyor","bilinmiyor"
"Temel Gıda","8693323874100","Jellopy Yumuşak Şeker","Jellopy","Şeker","bilinmiyor","bilinmiyor","bilinmiyor"
"Temel Gıda","8693323875107","Jellopy Yumuşak Şeker","Jellopy","Şeker","bilinmiyor","bilinmiyor","bilinmiyor"
"Temel Gıda","8693323877101","Jellopy Yumuşak Şeker","Jellopy","Şeker","bilinmiyor","bilinmiyor","bilinmiyor"
"Atıştırmalık ve Şekerleme","8693323881108","Jellopykolali","Jellopykolali","Şekerleme","bilinmiyor","bilinmiyor","bilinmiyor"
"Atıştırmalık ve Şekerleme","8693323803001","Jelloyp","Jelloyp","Şekerleme","bilinmiyor","bilinmiyor","bilinmiyor"
"Atıştırmalık ve Şekerleme","8693323808105","Jelopy","Jelopy","Şekerleme","bilinmiyor","bilinmiyor","bilinmiyor"
"Temel Gıda","8693323854409","Jelopy Şeker","Jelopy","Şeker","bilinmiyor","bilinmiyor","bilinmiyor"
"Temel Gıda","8693323858100","Jelopy Şeker","Jelopy","Şeker","bilinmiyor","bilinmiyor","bilinmiyor"
"Atıştırmalık ve Şekerleme","8693323981105","Jelopyy Sandi̇vi̇ç","Jelopyy","Şekerleme","bilinmiyor","bilinmiyor","bilinmiyor"
"Atıştırmalık ve Şekerleme","8693029601611","Jeloxy Cobra","Jeloxy","Şekerleme","bilinmiyor","bilinmiyor","bilinmiyor"
"Atıştırmalık ve Şekerleme","8691720001310","Ji̇vago Kremali Bi̇sküvi̇ 60 Gr","Ji̇vago","Bisküvi","bilinmiyor","bilinmiyor","bilinmiyor"
"Hazır Gıda","8699859000334","Jolito Pizza","Jolito","Hazır Yemek","bilinmiyor","bilinmiyor","bilinmiyor"
"Atıştırmalık ve Şekerleme","8691720009729","Joy Kat Çi̇kolata","Joy","Çikolata","bilinmiyor","bilinmiyor","bilinmiyor"
"Meyve, Sebze ve Kuruyemiş","8695077302014","Jucy Kayisi Nktari","Jucy","Kuruyemiş","bilinmiyor","bilinmiyor","bilinmiyor"
"İçecek","8695077302113","Jucyportakal Nektari","Jucyportakal","Meyve Suyu","bilinmiyor","bilinmiyor","bilinmiyor"
"Atıştırmalık ve Şekerleme","8690492000460","Jumbo Sakiz","Jumbo","Sakız","bilinmiyor","bilinmiyor","bilinmiyor"
"Atıştırmalık ve Şekerleme","8691901013170","Jupi̇ter Çi̇kolata 28 Gr","Jupi̇ter","Çikolata","bilinmiyor","bilinmiyor","bilinmiyor"
"Atıştırmalık ve Şekerleme","8691901013194","Jupi̇ter Çi̇kolata 30 Gr","Jupi̇ter","Çikolata","bilinmiyor","bilinmiyor","bilinmiyor"
